0,7811
6,36859
12,68819
19,64007
25,17892
31,45480
38,43586
44,20955
50,34905
57,42819
63,60010
70,13031
76,47062
82,45546
89,33163
95,16155
101,47960
108,23911
114,41735
120,17396
127,55589
133,6207
140,27687
146,33685
152,16918
159,28944
165,61274
171,42279
178,55528
184,36565
190,84664
197,42293
203,34950
210,39212
216,79604
222,51689
229,35042
235,72076
241,52242
248,36907
254,19876
260,58574
267,31737
273,71955
280,52625
286,105266
292,83966
299,96878
305,33481
311,85915
318,27805
324,32131
331,29341
337,110153
343,47531
350,80138
356,105503
362,45037
369,32083
375,78677
381,15262
388,142345
394,187116
401,180043
407,192659
413,136868
420,76053
426,52699
432,193781
439,150215
445,26155
451,234994
458,193472
464,676105
471,302843
477,2433685
483,3394826
490,2570047
496,1559950
502,509169
509,57021
515,371079
521,339614
528,300101
534,376527
541,355796
547,326282
553,324481
560,620635
566,487323
572,389281
579,508521
585,74041
591,401408
598,562600
604,598574
611,750810
617,1321991
623,2259314
630,1347089
636,5051921
642,10861417
649,7907571
655,7292544
662,1490509
668,1612258
674,1099163
681,708504
687,247948
693,614333
700,599049
706,200458
712,538261
719,396991
725,300543
732,754537
738,745029
744,807344
751,721769
757,918495
763,906209
770,460216
776,492252
782,297152
789,339484
795,264695
802,364291
808,92036
814,49652
821,155862
827,186912
833,58499
840,182326
846,186154
852,334236
859,266412
865,215942
872,212177
878,513025
884,633217
891,493757
897,372050
903,337550
910,298927
916,224347
922,244342
929,390513
935,657756
942,485058
948,2635228
954,367495
961,4221042
967,3407742
973,2524409
980,2346342
986,937431
993,763014
999,325941
1005,367338
1012,147154
1018,114175
1024,177386
1031,171692
1037,119581
1043,250391
1050,368009
1056,480054
1063,197266
1069,268287
1075,457197
1082,533903
1088,368448
1094,220057
1101,114303
1107,336445
1113,257478
1120,80938
1126,113571
1133,322138
1139,268910
1145,279688
1152,59833
1158,432198
1164,622084
1171,382332
1177,599927
1183,288308
1190,176361
1196,312434
1203,82451
1209,112758
1215,815025
1222,990351
1228,544663
1234,525281
1241,1841741
1247,1875921
1253,1146278
1260,2471806
1266,4339336
1273,3421902
1279,7018427
1285,11510651
1292,4563553
1298,6798661
1304,11706187
1311,6548330
1317,1793954
1324,976244
1330,598037
1336,532502
1343,294141
1349,1167400
1355,385171
1362,453636
1368,916883
1374,791414
1381,1148556
1387,621246
1394,853289
1400,582326
1406,368336
1413,412731
1419,834022
1425,507115
1432,1759620
1438,330287
1444,1486978
1451,793095
1457,956363
1464,3182836
1470,2223787
1476,894010
1483,269056
1489,543034
1495,535035
1502,247338
1508,281743
1514,142283
1521,226209
1527,133645
1534,493701
1540,425208
1546,218012
1553,226782
1559,298614
1565,28526
1572,41807
1578,148389
1585,129088
1591,145365
1597,136241
1604,181563
1610,180807
1616,261640
1623,216041
1629,103305
1635,134169
1642,147593
1648,146986
1655,39604
1661,18637
1667,150771
1674,107867
1680,140439
1686,275955
1693,50889
1699,91736
1705,188160
1712,276337
1718,216448
1725,160091
1731,237817
1737,201544
1744,131030
1750,345248
1756,630585
1763,177554
1769,141648
1775,162999
1782,427899
1788,237315
1795,304182
1801,146562
1807,191695
1814,320276
1820,174458
1826,242651
1833,255550
1839,531622
1845,353686
1852,199354
1858,426111
1865,668495
1871,296409
1877,739454
1884,476991
1890,1015295
1896,1536608
1903,681722
1909,2580810
1916,3696504
1922,3248652
1928,5872486
1935,2581335
1941,2632923
1947,3636348
1954,7987289
1960,5395724
1966,2329528
1973,729354
1979,47471
1986,420005
1992,45499
1998,432882
2005,120733
2011,235759
2017,154117
2024,537990
2030,761155
2036,535388
2043,778779
2049,540735
2056,484872
2062,374854
2068,493313
2075,114634
2081,241728
2087,97070
2094,176153
2100,83058
2106,114098
2113,150198
2119,86810
2126,110373
2132,237734
2138,312660
2145,193691
2151,77910
2157,120043
2164,189346
2170,51752
2176,141955
2183,221334
2189,178308
2196,123497
2202,41286
2208,174668
2215,258451
2221,229721
2227,120694
2234,146984
2240,377396
2247,264183
2253,204355
2259,160902
2266,196126
2272,73434
2278,174586
2285,60794
2291,62530
2297,254825
2304,163472
2310,167603
2317,273835
2323,212775
2329,233516
2336,314937
2342,82625
2348,293456
2355,282464
2361,214332
2367,257541
2374,263919
2380,243528
2387,291156
2393,717754
2399,748509
2406,1111820
2412,765896
2418,728267
2425,377124
2431,324400
2437,1032702
2444,1331084
2450,874424
2457,440991
2463,149613
2469,406352
2476,423653
2482,329049
2488,183364
2495,45057
2501,292579
2507,400992
2514,289790
2520,369574
2527,124929
2533,480560
2539,114700
2546,948939
2552,1554627
2558,1385584
2565,2245196
2571,1710329
2578,1707833
2584,1008317
2590,806136
2597,898382
2603,2518687
2609,2860227
2616,1515268
2622,793021
2628,44945
2635,216815
2641,131567
2648,169486
2654,339524
2660,184769
2667,117353
2673,79390
2679,275373
2686,453097
2692,241034
2698,198079
2705,209342
2711,121982
2718,92283
2724,142385
2730,94610
2737,178835
2743,111107
2749,91455
2756,16957
2762,114424
2768,192297
2775,272279
2781,182628
2788,88659
2794,104760
2800,144024
2807,164281
2813,97433
2819,80508
2826,112871
2832,49581
2839,66324
2845,93525
2851,223413
2858,246140
2864,120141
2870,399559
2877,784295
2883,1173441
2889,851596
2896,195103
2902,364070
2909,42018
2915,453339
2921,321768
2928,924490
2934,1041145
2940,574382
2947,267941
2953,141362
2959,128198
2966,178933
2972,194095
2979,62500
2985,13540
2991,6102
2998,28478
3004,69500
3010,111704
3017,66083
3023,123796
3029,57661
3036,48949
3042,63267
3049,28009
3055,127915
3061,76709
3068,33089
3074,80238
3080,67917
3087,74244
3093,86596
3099,124912
3106,238544
3112,327795
3119,293407
3125,273265
3131,190041
3138,289490
3144,193189
3150,176479
3157,42568
3163,115138
3170,246317
3176,599935
3182,849968
3189,732737
3195,1194849
3201,1347112
3208,1991735
3214,1872433
3220,1391756
3227,1409113
3233,341339
3240,75460
3246,538322
3252,1572151
3259,1790469
3265,1197879
3271,701221
3278,406771
3284,129714
3290,294449
3297,178739
3303,133264
3310,197152
3316,103115
3322,108464
3329,220502
3335,255468
3341,164095
3348,287630
3354,390756
3360,621225
3367,674023
3373,637899
3380,342427
3386,51849
3392,179281
3399,261745
3405,212765
3411,154761
3418,252060
3424,321499
3430,176191
3437,38871
3443,93226
3450,52703
3456,103722
3462,141195
3469,81544
3475,67111
3481,35978
3488,43414
3494,15476
3501,82049
3507,33069
3513,42035
3520,87801
3526,90301
3532,59455
3539,50379
3545,74448
3551,22508
3558,49453
3564,23657
3571,20948
3577,19080
3583,22752
3590,36547
3596,22698
3602,17784
3609,27004
3615,23471
3621,22952
3628,51409
3634,57970
3641,82100
3647,73632
3653,32238
3660,41850
3666,39018
3672,85646
3679,63379
3685,48346
3691,17816
3698,34360
3704,15343
3711,86848
3717,98189
3723,44905
3730,34738
3736,78674
3742,38077
3749,45530
3755,80414
3761,191126
3768,168460
3774,43620
3781,130437
3787,102115
3793,88783
3800,139386
3806,80942
3812,327766
3819,207355
3825,235026
3832,515317
3838,895660
3844,1231550
