0,11371932
1,7357529
2,5687216
3,1391539
4,4842938
5,5080634
6,1726690
7,1466297
8,7325375
9,1726246
10,7212508
11,4399670
12,6563136
13,5847634
14,5804945
15,3360367
16,9970834
17,14167658
18,10058353
19,8665342
20,14851070
21,6891566
22,17715603
23,10181891
24,25654689
25,20066881
26,74119250
27,23790172
28,43621732
29,118850913
30,48131829
31,3706114
32,5447814
33,4515120
34,10971813
35,13077932
36,43550394
37,81531320
38,8446099
39,3032085
40,6911127
41,5969385
42,3124710
43,5168680
44,2803119
45,14971504
46,27255649
47,7612013
48,3465680
49,4302662
50,6592840
51,4892583
52,12528607
53,15408050
54,9444215
55,13538754
56,3152485
57,30780073
58,39990161
59,60500225
60,13315216
61,12165068
62,2650743
63,5714181
64,1995732
65,9574783
66,7516905
67,4452617
68,7348382
69,3826014
70,3683049
71,3741729
72,2879065
73,1773890
74,3718038
75,1797246
76,4382083
77,2414588
78,4060575
79,1808960
80,686386
81,4047954
82,2157350
83,1492690
84,4364440
85,3639953
86,5129636
87,4256433
88,13267638
89,4775561
90,882720
91,3050814
92,3271658
93,4137183
94,131194
95,3609743
96,3581461
97,687994
98,1193687
99,433216
100,1138394
101,1645329
102,2061479
103,2624715
104,2024795
105,4273132
106,1896853
107,1960034
108,1128710
109,923411
110,1388978
111,1230163
112,831062
113,693444
114,269813
115,618925
116,551946
117,132126
118,884135
119,867773
120,2183943
121,1219296
122,338995
123,1031669
124,389500
125,1175734
126,750343
127,1514379
128,415652
129,1963606
130,1201795
131,526427
132,1750086
133,718711
134,1005613
135,1096274
136,676773
137,1409438
138,614600
139,674376
140,532868
141,257814
142,730926
143,567154
144,128686
145,637530
146,1212464
147,889400
148,240331
149,2019852
150,1785731
151,411776
152,937274
153,1596156
154,1394503
155,158157
156,1094204
157,498236
158,127658
159,590696
160,292535
161,863333
162,1615325
163,654620
164,809429
165,322708
166,543802
167,1095076
168,370246
169,1041787
170,709485
171,739043
172,490675
173,328153
174,801961
175,1749026
176,1071828
177,708683
178,1134564
179,1473833
180,1178514
181,638052
182,76350
183,1423779
184,516956
185,1231051
186,599555
187,457474
188,1318201
189,966740
190,304012
191,473112
192,971376
193,1214480
194,385721
195,766245
196,577153
197,150412
198,375725
199,502353
200,970941
201,250828
202,235767
203,704890
204,1107707
205,1037428
206,774613
207,881415
208,1692502
209,605063
210,508479
211,709886
212,471970
213,1059213
214,1406472
215,921963
216,1467866
217,1336757
218,2011217
219,2378214
220,665963
221,1880825
222,517174
223,745480
224,1885206
225,1703645
226,1300004
227,1186292
228,1150633
229,1111721
230,1470382
231,2338501
232,1829001
233,3447622
234,1120988
235,1975820
236,1913177
237,1945224
238,2099043
239,2365484
240,1855087
241,2123159
242,2597327
243,3509702
244,3618668
245,3471745
246,2283434
247,3309691
248,2118074
249,5311269
250,9023340
251,13610106
252,15089020
253,10154120
254,20357179
255,4942033
256,38873879
257,330552904
258,82689178
259,32283273
260,28658368
261,11028944
262,17050800
263,7384777
264,5997223
265,5364544
266,5325720
267,4328592
268,4931331
269,4644443
270,3896339
271,3564424
272,3435288
273,2655054
274,2457728
275,3272398
276,1388524
277,3256123
278,2909691
279,3438934
280,1984093
281,1360786
282,2461483
283,2741508
284,2788414
285,1509086
